CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,EmissionIntensity,EnergyEfficiency,WaterEfficiency
1,Company_1,Retail,Latin America,2015,459.2,6.0,337.5,4.830369999999999,57.0,60.7,33.5,76.8,35577.4,17788.7,71154.7,77.47691637630662,0.006453544179091473,0.025814140437468727
1,Company_1,Retail,Latin America,2016,473.8,4.6,366.6,3.2,56.7,58.9,32.8,78.5,37314.7,18657.4,74629.4,78.75622625580412,0.006348704397998645,0.025394749536376986
1,Company_1,Retail,Latin America,2017,564.9,5.2,313.4,19.2,56.5,57.6,34.0,77.8,45006.4,22503.2,90012.9,79.67144627367676,0.006275767140043261,0.0251030964485051
1,Company_1,Retail,Latin America,2018,558.4,4.3,283.0,-1.1,58.0,62.3,33.4,78.3,42650.1,21325.1,85300.2,76.37911891117479,0.006546291802363886,0.026185105814275196
1,Company_1,Retail,Latin America,2019,554.5,4.9,538.1,-0.7,56.6,63.7,30.0,76.1,41799.4,20899.7,83598.8,75.38214607754735,0.006632870328282224,0.026531481313128897
1,Company_1,Retail,Latin America,2020,567.5,6.0,384.1,2.3,55.7,65.1,28.5,73.5,42245.4,21122.7,84490.9,74.44123348017621,0.006716699668248297,0.026866830471483284
1,Company_1,Retail,Latin America,2021,604.2,5.2,479.3,6.5,55.6,66.8,25.5,74.6,44263.8,22131.9,88527.7,73.26017874875869,0.006824982463116065,0.02729996069022542
1,Company_1,Retail,Latin America,2022,593.2,4.2,248.4,-1.8,57.7,69.0,27.1,76.9,42536.3,21268.2,85072.6,71.70650708024274,0.006972867879904928,0.027891405948787393
1,Company_1,Retail,Latin America,2023,636.7,5.3,373.9,7.3,57.8,68.3,27.0,78.1,45956.3,22978.2,91912.6,72.17889115753101,0.006927233045306084,0.02770887188726706
1,Company_1,Retail,Latin America,2024,687.0,4.6,460.1,7.9,58.5,68.9,29.9,76.8,49289.1,24644.5,98578.1,71.74541484716157,0.006969093541060336,0.0278764024427357
1,Company_1,Retail,Latin America,2025,734.5,5.0,628.8,6.9,59.2,70.7,29.1,78.0,51805.8,25902.9,103611.7,70.53206262763786,0.007088967751711439,0.0283558983743133
2,Company_2,Retail,Asia,2015,2934.8,-2.9,1803.1,4.830369999999999,59.9,61.1,48.6,69.8,226554.2,113277.1,453108.3,77.19578846940166,0.006477038712378476,0.02590814913164267
2,Company_2,Retail,Asia,2016,3140.3,-1.1,13885.2,7.0,60.6,61.1,50.1,70.5,242555.1,121277.6,485110.3,77.23946756679298,0.006473373168947351,0.025893487338139936
2,Company_2,Retail,Asia,2017,3463.1,-2.2,5283.7,10.3,61.7,61.4,53.1,70.5,266651.3,133325.7,533302.7,76.99786318616269,0.006493685481059819,0.02597473705369632
2,Company_2,Retail,Asia,2018,2939.7,-1.7,4408.0,-15.1,61.5,61.7,52.0,70.6,225701.3,112850.6,451402.6,76.77698404599109,0.0065123683381531254,0.026049484894187534
2,Company_2,Retail,Asia,2019,3125.6,1.2,566.4,6.3,61.1,63.1,52.5,67.8,237019.5,118509.7,474039.0,75.83168031737907,0.006593550319699434,0.02637421240624185
2,Company_2,Retail,Asia,2020,2999.8,-0.3,1997.8,-4.0,63.3,64.2,57.9,67.9,225128.2,112564.1,450256.4,75.04773651576772,0.0066624261198730324,0.02664970447949213
2,Company_2,Retail,Asia,2021,3167.9,-0.4,15634.9,5.6,63.0,62.9,60.0,66.1,240710.6,120355.3,481421.2,75.98427980681208,0.00658030847000506,0.02632123388002024
2,Company_2,Retail,Asia,2022,3106.4,0.8,514.3,-1.9,64.0,66.7,57.7,67.8,227761.4,113880.7,455522.7,73.32004893123873,0.006819418659048166,0.027277668647979862
2,Company_2,Retail,Asia,2023,3691.6,-0.7,2523.2,18.8,66.0,66.6,61.6,70.0,271015.1,135507.6,542030.3,73.41399393217033,0.006810689365520709,0.027242752436025728
2,Company_2,Retail,Asia,2024,3822.9,-1.2,5807.8,3.6,65.7,65.4,63.0,68.7,283660.0,141830.0,567320.0,74.20021449684793,0.0067385249947119795,0.026954099978847918
2,Company_2,Retail,Asia,2025,4371.5,-2.4,20376.3,14.4,66.3,65.8,62.8,70.3,323282.0,161641.0,646564.1,73.95219032368752,0.006761123916406741,0.027044499848429545
3,Company_3,Transportation,Latin America,2015,259.7,5.9,140.2,4.830369999999999,25.5,3.3,41.6,31.5,183314.5,30552.4,611048.2,705.8702348864074,0.00042500738894247624,0.00850015056100339
3,Company_3,Transportation,Latin America,2016,245.2,8.5,224.0,-5.6,26.9,7.0,40.2,33.5,169346.3,28224.4,564487.8,690.6455954323002,0.0004343760839472527,0.008687518600926857
